Artifact	Artifact	神器
Breaker	Breaker	破坏者
Charged	Charged	充能
Cost	Cost	Cost
DUR	DUR	DUR
Evanescent	Evanescent	消逝
Fairy	Fairy	妖精
Formation	Formation	阵型
GI_10SetHeader	<b>Set: </b>	<b>套牌:</b>
GI_11Set	You can choose 1 Warrior and 6 Spirits in your set. The Warrior will be summoned on your board at the beginning and the 6 Spirits will be added to your deck.	你可以选择1个[战士]和6个[灵]. [战士]会直接召唤到场上，[灵]则会加入卡组。
GI_12BoardHeader	<b>Board:</b>	<b>场地:</b>
GI_13Board	Each player has a field. Player can only summon Spirits on his field. Each Field contains 7 blocks. 3 are frontline, 3 are backline, and 1 is center. Spirit may have restrictions of position. For example, it can only be summoned to the frontline.	每个玩家有一个场地。玩家可以在自己的场地上召唤[灵]。每个场地有7个格子，其中3个是前线，3个是后方，1个是中心。有些[灵]仅能召唤到前线或者后方。
GI_14GamePhaseHeader	<b>Game Phase:</b>	<b>游戏阶段:</b>
GI_15GamePhase1	Each player will draw random three cards at Game Start. Then each turn, the Player can choose 1 from 3 cards randomly chosen from the deck and add it to the Hand. It's copy. The number of cards in deck remain.	每个玩家在游戏开始时抽三张卡，之后每个回合开始时，游戏随机选出三张卡组里的牌，玩家选择其中一张加入手卡。卡组不会减少。
GI_16GamePhase2	After Drawing, players can Summon or Rank Up Spirit. Beware, they both cost Mana. After using cards, press <b>Pass</b> button to end this phase.	抽卡阶段后，玩家可以使用手卡并消耗法力召唤或者升阶[灵]。之后按[Pass]按钮结束阶段。
GI_17GamePhase3	Next, all units will take turn one by one based on their SPD. You can use action or pass the turn. To use action, you have to Right Click the card to open Info Window and then click Action.	之后，所有单位依据SPD属性依次行动。玩家可以使用能力或者直接[Pass]。右键点击单位可以查看其资料，点击能力就可以使用。
GI_18RankUpHeader	<b>Rank Up:</b>	<b>升阶:</b>
GI_19RU1	Spirit can Rank Up if the Player drags another card and drop on it. So the Player can access more powerful Spirit. All High-Rank Spirits require the two Low-Rank Spirits to have some properties. You can view Rank up detail in Deck Builder.	拖动手卡并放到另一个单位上就可以根据两张卡片的能力选择进阶成更厉害的卡。在改变卡组界面可以查看进阶的可能与条件。
GI_1IntroHeader	<b>Introduction:</b>	<b>介绍:</b>
GI_20RU2	The conditions showed in the left is the requirement for Spirit 1 which is the Spirit on the board. It’s also the Spirit to Rank Up, so it’s called Base.	左侧的是场上的[单位](称为基石)所需要满足的条件。
GI_21RU3	The conditions showed in the right is the requirement for Spirit 2 which is the Spirit in the Hand. It’s the Spirit that’s used to Rank Up, so it’s called Material.	右侧的是手卡的[单位](称为素材)所需要满足的条件。
GI_22RU4	Rank Up will cost Mana as well.	升阶同样需要消耗法力。
GI_23RU5	If player summoned(or Rank Up) any new Spirits (not in the deck) , then this Spirit will be added to the Deck. Therefore, player has a chance to draw the Spirit directly and summon it without Rank Up or used as Material.	当玩家召唤或进阶出新的单位（未在卡组中）时，这张卡片会加入卡组中，玩家youjihui抽到
GI_2IntroContent	First. Thanks For Playing! This is a Card Game Demo created all by myself. So, please don't expect any fancy Images and Music.	首先，感谢游玩！这是一个个人制作的卡牌对战游戏Demo. 并没有优秀美工和音乐，请见谅.
GI_3RuleHeader	<b>Rule:</b>	<b>规则:</b>
GI_4Win	There are 2 kinds of cards, Warrior and Spirit. Warrior is like player's Avatar and Spirit is like player's minion. Destroy Enemy Warrior to win the game.	卡片分为两种[战士]与[灵]. 摧毁敌方[战士]以获得胜利.
GI_5ControlHeader	<b>Control:</b>	<b>控制:</b>
GI_6Control1	You can always right-click a card in Gameplay or in Deck Builder to see its detail.	你可以在游戏中右击卡片查看其细节。
GI_7Control2	You can drag a card in hand and drop it on the board to summon it.	你可以拖曳手卡到场上来召唤它。
GI_8Control3	You can drag a card in hand and drop it on a Spirit (that’s on the board) to Rank Up.	你可以拖曳手卡到场上的单位来进阶。
GI_9Control4	You can right-click empty space to cancel your selection in Gameplay.	游戏中你可以右击空白处以取消你的选择。
